Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2022-09-01
Data Final: 2023-10-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-09-01;0;23.5;14.920833;9.2;77.375;12.1;5.220833;
2022-09-02;6;18.5;14.625;11.9;88.375;14.2;3.508333;
2022-09-03;21;13.5;10.55;8.1;76.708333;10.9;3.454167;
2022-09-04;0;15.6;6.916667;-.8;72.875;12.1;5.008333;
2022-09-05;0;14.9;9.666667;4;77.75;10.6;5.0375;
2022-09-06;0;14.9;11.845833;9.9;91.833333;13.8;5.291667;
2022-09-07;12.4;16.3;12.895833;11.6;88.916667;13.2;4.575;
2022-09-08;1;27.2;18.083333;8.3;77.333333;7.9;2.383333;
2022-09-09;.2;25.7;22.145833;18.9;67.791667;14.3;4.545833;
2022-09-10;.8;22.8;13.220833;9.1;74.25;8.4;3.154167;
2022-09-11;.2;18.9;10.333333;2.2;77.041667;13.5;5.041667;
2022-09-12;17.4;13.1;11.433333;9.2;95.458333;12.4;4.729167;
2022-09-13;8;20.2;14.891667;10.7;84.166667;7.6;1.758333;
2022-09-14;0;17.2;12.545833;8.6;80.916667;6.6;2.6875;
2022-09-15;0;18.8;13.0125;9;77.416667;7.5;3.520833;
2022-09-16;0;17.8;12.6625;9.8;77.125;12.1;5.054167;
2022-09-17;0;17.5;12.1125;8;71.708333;14.2;6.704167;
2022-09-18;0;20.8;13.245833;8;69.458333;19;8.241667;
2022-09-19;0;13.2;11.375;10.6;91.208333;13.4;5.1375;
2022-09-20;12;20.9;14.841667;10.6;82.75;6.5;1.858333;
2022-09-21;.2;18;13.920833;11.6;89.25;11.1;5.058333;
2022-09-22;2;15.6;12.654167;11.4;84;12.9;3.883333;
2022-09-23;0;13.3;7.320833;2.3;70.833333;12.6;2.733333;
2022-09-24;0;19.5;10.370833;2.2;63.875;9.9;3.266667;
2022-09-25;.2;15.9;11.108333;9;85.916667;12.1;5.1375;
2022-09-26;10;18.4;13.929167;9.8;89.666667;13.9;2.208333;
2022-09-27;.2;19.8;15.658333;9.8;83.166667;6.5;1.883333;
2022-09-28;0;16.1;13.379167;12.8;89.125;9.3;4.0875;
2022-09-29;1.2;11.5;10.208333;9.1;91.083333;13.1;6.2;
2022-09-30;6.4;17.5;12.558333;8.8;86.791667;12.6;5.145833;
2022-10-01;3.8;21;15.404348;11.7;81.478261;8.9;2.395652;
2022-10-02;0;21.7;15.233333;8.6;71.375;8.7;2.829167;
2022-10-03;0;21.7;14.782609;8.2;71.043478;7.4;2.852174;
2022-10-04;0;23.4;15.5875;9.6;74;6.9;2.820833;
2022-10-05;0;26.2;17.508333;12.8;78.125;9.9;4.366667;
2022-10-06;31.8;19.4;15.3875;13.2;90.958333;19.3;5.55;
2022-10-07;16.2;17.4;13.345833;10.6;84.5;12.1;3.741667;
2022-10-08;0;23.3;15.391304;8.3;64.565217;9.5;2.082609;
2022-10-09;0;19.2;14.7125;13.1;71.541667;8.5;2.366667;
2022-10-10;31.6;12.1;11.195833;10.8;95.375;15.8;6.654167;
2022-10-11;77.2;14.7;12.95;10.7;96.541667;14.2;5.295833;
2022-10-12;43.4;19.3;14.9625;12.6;90.666667;11.7;1.825;
2022-10-13;.4;24.2;17.566667;12.5;83.041667;7.4;2.1625;
2022-10-14;8.6;18.8;15.216667;12.8;89.833333;11.2;3.4875;
2022-10-15;0;19.2;14.6625;12.6;84.75;15.1;7.158333;
2022-10-16;18;22.5;16.854167;12.9;82.416667;11.6;3.4625;
2022-10-17;0;24.3;17.6625;12.2;77.791667;6.9;2.1625;
2022-10-18;6.6;18.7;14.5875;13.2;91.5;11.6;5.470833;
2022-10-19;3.8;25.1;18.456522;13.2;78.913043;8.9;2.913043;
2022-10-20;31.2;21.7;17.045833;14.5;89.708333;11;3.8125;
2022-10-21;2.2;21;16.2;13.9;85.125;10.9;2.758333;
2022-10-22;7;22.4;16.252174;11.5;78.913043;8.9;2.191304;
2022-10-23;0;23.5;17.325;12.2;74.291667;7.8;2.683333;
2022-10-24;0;24.1;17.4875;10.2;64.5;6.7;2.616667;
2022-10-25;0;26.9;18.954167;11.7;66.458333;8.7;3.629167;
2022-10-26;0;26.7;19.741667;14.5;71.166667;11.3;5.191667;
2022-10-27;.2;23.4;18.204167;14.1;78.875;13.6;3.325;
2022-10-28;0;27.1;20.141667;12;68.375;7.8;2.4625;
2022-10-29;1.2;21.9;16.8;15;86.041667;21.1;3.145833;
2022-10-30;.6;22.3;17.05;12.3;86.375;10.6;2.645833;
2022-10-31;9.8;18.7;14.3875;14;95.875;17.2;4.15;
2022-11-01;10.2;11.3;7.329167;5.2;85.333333;13.9;4.4625;
